pair,block,target,n,coverage,abstention,n_answered,selective_accuracy,calib_fallback_states
EURUSD,1,0.5,249,0.8313253012048193,0.9196787148594378,20,0.75,[]
EURUSD,1,0.55,249,0.9317269076305221,0.9598393574297188,10,1.0,[]
EURUSD,1,0.6,249,0.9437751004016064,0.9718875502008032,7,1.0,[]
EURUSD,1,0.65,249,0.9598393574297188,0.9799196787148594,5,1.0,[]
EURUSD,1,0.7,249,0.963855421686747,0.9879518072289156,3,1.0,[]
EURUSD,1,0.75,249,0.9718875502008032,0.9959839357429718,1,1.0,[]
EURUSD,1,0.8,249,0.9718875502008032,1.0,0,,[]
EURUSD,1,0.85,249,0.9759036144578314,1.0,0,,[]
EURUSD,1,0.9,249,0.9799196787148594,1.0,0,,[]
EURUSD,1,0.95,249,0.9919678714859438,1.0,0,,[]
EURUSD,2,0.5,377,0.4854111405835544,0.18302387267904507,308,0.42857142857142855,[2]
EURUSD,2,0.55,377,0.5490716180371353,0.2891246684350133,268,0.44402985074626866,[2]
EURUSD,2,0.6,377,0.636604774535809,0.5888594164456233,155,0.36129032258064514,[2]
EURUSD,2,0.65,377,0.7294429708222812,0.7957559681697612,77,0.3246753246753247,[2]
EURUSD,2,0.7,377,0.7851458885941645,0.8912466843501327,41,0.36585365853658536,[2]
EURUSD,2,0.75,377,0.8063660477453581,0.9336870026525199,25,0.4,[2]
EURUSD,2,0.8,377,0.8116710875331565,0.9416445623342176,22,0.36363636363636365,[2]
EURUSD,2,0.85,377,0.8196286472148541,0.9522546419098143,18,0.2777777777777778,[2]
EURUSD,2,0.9,377,0.8514588859416445,0.9973474801061007,1,1.0,[2]
EURUSD,2,0.95,377,0.9257294429708223,1.0,0,,[2]
EURUSD,3,0.5,377,0.5039787798408488,0.31564986737400536,258,0.35271317829457366,[1]
EURUSD,3,0.55,377,0.53315649867374,0.36604774535809015,239,0.35564853556485354,[1]
EURUSD,3,0.6,377,0.5517241379310345,0.403183023872679,225,0.3511111111111111,[1]
EURUSD,3,0.65,377,0.583554376657825,0.4694960212201591,200,0.35,[1]
EURUSD,3,0.7,377,0.6180371352785146,0.5437665782493368,172,0.36627906976744184,[1]
EURUSD,3,0.75,377,0.6631299734748011,0.6392572944297082,136,0.36764705882352944,[1]
EURUSD,3,0.8,377,0.7480106100795756,0.8222811671087533,67,0.3283582089552239,[1]
EURUSD,3,0.85,377,0.8381962864721485,0.9442970822281167,21,0.19047619047619047,[1]
EURUSD,3,0.9,377,0.896551724137931,0.9761273209549072,9,0.0,[1]
EURUSD,3,0.95,377,0.9708222811671088,1.0,0,,[1]
EURUSD,4,0.5,503,0.5208747514910537,0.3001988071570576,352,0.48295454545454547,[2]
EURUSD,4,0.55,503,0.5546719681908548,0.3558648111332008,324,0.47530864197530864,[2]
EURUSD,4,0.6,503,0.6043737574552683,0.43936381709741545,282,0.48936170212765956,[2]
EURUSD,4,0.65,503,0.658051689860835,0.6023856858846919,200,0.495,[2]
EURUSD,4,0.7,503,0.7196819085487077,0.7753479125248509,113,0.5486725663716814,[2]
EURUSD,4,0.75,503,0.7713717693836978,0.9065606361829026,47,0.6170212765957447,[2]
EURUSD,4,0.8,503,0.8508946322067594,0.9940357852882704,3,0.6666666666666666,[2]
EURUSD,4,0.85,503,0.9264413518886679,1.0,0,,[2]
EURUSD,4,0.9,503,0.9542743538767395,1.0,0,,[2]
EURUSD,4,0.95,503,0.9602385685884692,1.0,0,,[2]
EURUSD,5,0.5,378,0.5,0.37037037037037035,238,0.41596638655462187,[0]
EURUSD,5,0.55,378,0.5396825396825397,0.42592592592592593,217,0.3870967741935484,[0]
EURUSD,5,0.6,378,0.582010582010582,0.5238095238095238,180,0.38333333333333336,[0]
EURUSD,5,0.65,378,0.6031746031746031,0.5661375661375662,164,0.3780487804878049,[0]
EURUSD,5,0.7,378,0.6507936507936508,0.6137566137566137,146,0.363013698630137,[0]
EURUSD,5,0.75,378,0.6931216931216931,0.6984126984126984,114,0.35964912280701755,[0]
EURUSD,5,0.8,378,0.828042328042328,0.962962962962963,14,0.35714285714285715,[0]
EURUSD,5,0.85,378,0.8571428571428571,0.9947089947089947,2,1.0,[0]
EURUSD,5,0.9,378,0.9074074074074074,1.0,0,,[0]
EURUSD,5,0.95,378,0.9444444444444444,1.0,0,,[0]
EURUSD,6,0.5,322,0.5372670807453416,0.2795031055900621,232,0.47844827586206895,[2]
EURUSD,6,0.55,322,0.593167701863354,0.38819875776397517,197,0.5076142131979695,[2]
EURUSD,6,0.6,322,0.6521739130434783,0.49689440993788825,162,0.5432098765432098,[2]
EURUSD,6,0.65,322,0.6739130434782609,0.5403726708074534,148,0.5608108108108109,[2]
EURUSD,6,0.7,322,0.6770186335403726,0.5683229813664596,139,0.5467625899280576,[2]
EURUSD,6,0.75,322,0.6832298136645962,0.5869565217391304,133,0.556390977443609,[2]
EURUSD,6,0.8,322,0.7080745341614907,0.6304347826086957,119,0.5714285714285714,[2]
EURUSD,6,0.85,322,0.8229813664596274,0.8105590062111802,61,0.639344262295082,[2]
EURUSD,6,0.9,322,0.8695652173913043,0.9347826086956522,21,0.7142857142857143,[2]
EURUSD,6,0.95,322,0.9440993788819876,0.984472049689441,5,0.8,[2]
USDINR,1,0.5,249,0.3172690763052209,0.2650602409638554,183,0.3224043715846995,"[1, 2]"
USDINR,1,0.55,249,0.3493975903614458,0.2811244979919679,179,0.3128491620111732,"[1, 2]"
USDINR,1,0.6,249,0.3614457831325301,0.3413654618473896,164,0.32926829268292684,"[1, 2]"
USDINR,1,0.65,249,0.41365461847389556,0.4819277108433735,129,0.3488372093023256,"[1, 2]"
USDINR,1,0.7,249,0.5060240963855421,0.7228915662650602,69,0.2753623188405797,"[1, 2]"
USDINR,1,0.75,249,0.5261044176706827,0.7871485943775101,53,0.2830188679245283,"[1, 2]"
USDINR,1,0.8,249,0.5903614457831325,0.8152610441767069,46,0.2608695652173913,"[1, 2]"
USDINR,1,0.85,249,0.6506024096385542,0.8835341365461847,29,0.20689655172413793,"[1, 2]"
USDINR,1,0.9,249,0.7550200803212851,0.9236947791164658,19,0.10526315789473684,"[1, 2]"
USDINR,1,0.95,249,0.8273092369477911,0.9397590361445783,15,0.13333333333333333,"[1, 2]"
USDINR,2,0.5,377,0.6312997347480106,0.6896551724137931,117,0.4188034188034188,[]
USDINR,2,0.55,377,0.6923076923076923,0.7427055702917772,97,0.44329896907216493,[]
USDINR,2,0.6,377,0.7055702917771883,0.7718832891246684,86,0.4069767441860465,[]
USDINR,2,0.65,377,0.7400530503978779,0.8222811671087533,67,0.40298507462686567,[]
USDINR,2,0.7,377,0.7480106100795756,0.8381962864721485,61,0.4098360655737705,[]
USDINR,2,0.75,377,0.7586206896551724,0.8594164456233422,53,0.37735849056603776,[]
USDINR,2,0.8,377,0.7824933687002652,0.8885941644562334,42,0.42857142857142855,[]
USDINR,2,0.85,377,0.8037135278514589,0.9283819628647215,27,0.37037037037037035,[]
USDINR,2,0.9,377,0.8328912466843501,0.9708222811671088,11,0.36363636363636365,[]
USDINR,2,0.95,377,0.8461538461538461,0.9920424403183024,3,0.3333333333333333,[]
USDINR,3,0.5,377,0.4244031830238727,0.4403183023872679,211,0.38388625592417064,[0]
USDINR,3,0.55,377,0.4562334217506631,0.4694960212201591,200,0.39,[0]
USDINR,3,0.6,377,0.5092838196286472,0.5039787798408488,187,0.40106951871657753,[0]
USDINR,3,0.65,377,0.5570291777188329,0.5570291777188329,167,0.3592814371257485,[0]
USDINR,3,0.7,377,0.6180371352785146,0.6631299734748011,127,0.3700787401574803,[0]
USDINR,3,0.75,377,0.7374005305039788,0.8328912466843501,63,0.3492063492063492,[0]
USDINR,3,0.8,377,0.7877984084880637,0.883289124668435,44,0.36363636363636365,[0]
USDINR,3,0.85,377,0.8222811671087533,0.9204244031830239,30,0.3333333333333333,[0]
USDINR,3,0.9,377,0.8753315649867374,0.9283819628647215,27,0.3333333333333333,[0]
USDINR,3,0.95,377,0.9283819628647215,0.9442970822281167,21,0.3333333333333333,[0]
USDINR,4,0.5,503,0.5805168986083499,0.4214711729622267,291,0.4570446735395189,[]
