registered,pair,scope,comparison,balacc_diff,balacc_ci_lo,balacc_ci_hi,balacc_excludes_zero,brier_diff,ci_lo,ci_hi,excludes_zero
P1,EURUSD,block6_confirmation,N1-B2,-0.008044207574724016,-0.0732444341372913,0.03567491567734136,False,0.050845466264099366,-0.025946649641707415,0.14057313480994574,False
exploratory,EURUSD,blocks1-5_exploratory,N1-B2,0.0018579018579018558,-0.01931231266347954,0.022009268731475302,False,-0.006380676100388938,-0.03193961735520604,0.019683569252434512,False
P1,USDINR,block6_confirmation,N1-B2,-0.024766631218244073,-0.08866044981181159,0.044861937949890886,False,-0.0019163444908399244,-0.0845613448188051,0.0741254575085764,False
exploratory,USDINR,blocks1-5_exploratory,N1-B2,0.0008553341037113027,-0.018512579729732394,0.020266009983834994,False,-0.010279279028475084,-0.03165458652847769,0.012512229722229845,False
P1,USDJPY,block6_confirmation,N1-B2,-0.033703190013869566,-0.09792318633123816,0.03076432308382023,False,0.04740944391786335,-0.03489086899502175,0.1328715261103844,False
exploratory,USDJPY,blocks1-5_exploratory,N1-B2,0.01351175388361231,-0.007516406969265983,0.035723847825449566,False,-0.02051382420678282,-0.05056980964334988,0.0076445618243931954,False
