pair,scope,n,coverage,coverage_ci_lo,coverage_ci_hi,abstention,n_answered,selective_accuracy
EURUSD,block6_confirmation,322,0.7080745341614907,0.6304347826086957,0.782608695652174,0.6304347826086957,119,0.5714285714285714
EURUSD,blocks1-5_exploratory,1884,0.833864118895966,0.8088906581740977,0.8593550955414012,0.9437367303609342,106,0.3490566037735849
USDINR,block6_confirmation,322,0.9596273291925466,0.9284937888198758,0.9875776397515528,0.9875776397515528,4,0.25
USDINR,blocks1-5_exploratory,1884,0.7569002123142251,0.7197452229299363,0.7898089171974523,0.9166666666666666,157,0.3821656050955414
USDJPY,block6_confirmation,322,0.7919254658385093,0.7236024844720497,0.8571428571428571,0.9813664596273292,6,0.3333333333333333
USDJPY,blocks1-5_exploratory,1884,0.779723991507431,0.7526539278131635,0.8115711252653928,0.8943736730360934,199,0.37185929648241206
