pair,scope,comparison,balacc_diff,balacc_ci_lo,balacc_ci_hi,balacc_excludes_zero,brier_diff,ci_lo,ci_hi,excludes_zero
EURUSD,block6_confirmation,B1-B0,0.06419102545863103,-0.0182489465129718,0.1553331812437128,False,-0.035535977378843696,-0.0734545845340186,-0.0011938821175455565,True
EURUSD,block6_confirmation,B2-B0,0.01773330998683109,-0.05872166223080402,0.11184319162391415,False,0.14631978096332673,0.0708588473493565,0.21217189278048673,True
EURUSD,block6_confirmation,B2-B1,-0.04645771547179994,-0.11005956308590048,0.03409505965957581,False,0.18185575834217044,0.11212961611208457,0.2466100870287355,True
EURUSD,blocks1-5_exploratory,B1-B0,0.034082434082434054,-0.0028526237504973694,0.07246808505116133,False,0.029959225377941604,0.012258639421021159,0.04998291359907922,True
EURUSD,blocks1-5_exploratory,B2-B0,0.0148797148797149,-0.018595642932609926,0.055780869007053535,False,0.26143858274441084,0.2153820872029645,0.30504548504473206,True
EURUSD,blocks1-5_exploratory,B2-B1,-0.019202719202719154,-0.05091053918987041,0.01534201425324814,False,0.23147935736646927,0.187551114312955,0.2733068665488565,True
USDINR,block6_confirmation,B1-B0,0.014469175419939417,-0.053264988489011414,0.08736141296736159,False,0.008142509839582134,-0.007105297242951182,0.022537052714514595,False
USDINR,block6_confirmation,B2-B0,0.05913138926721262,-0.018771167087524656,0.14436642527496676,False,0.19068859915984682,0.11059176604021542,0.26699044866648153,True
USDINR,block6_confirmation,B2-B1,0.0446622138472732,-0.026680775146743718,0.12134491647308401,False,0.1825460893202647,0.10470066092171529,0.256520310836098,True
USDINR,blocks1-5_exploratory,B1-B0,-0.015048471519697015,-0.0549241331376883,0.024119839259070644,False,0.032116543017250955,0.014605158244707773,0.05119055385912981,True
USDINR,blocks1-5_exploratory,B2-B0,-0.033966982324822814,-0.07415852111982098,0.003742988612456969,False,0.2372639252223778,0.19747824610379075,0.27777838588950626,True
USDINR,blocks1-5_exploratory,B2-B1,-0.0189185108051258,-0.05153528391227463,0.014154852142331423,False,0.20514738220512685,0.16657468725388638,0.24504532007573201,True
USDJPY,block6_confirmation,B1-B0,0.015856749028270056,-0.04905824167544147,0.088368447063372,False,0.002833968544218153,-0.0077081206349496134,0.012575596973584735,False
USDJPY,block6_confirmation,B2-B0,0.05602986250235442,-0.027545682522479818,0.14170544897115375,False,0.16932332959121404,0.0951533744271271,0.24901232931090142,True
USDJPY,block6_confirmation,B2-B1,0.040173113474084365,-0.018824487631806008,0.10023254323906497,False,0.16648936104699588,0.09054038418251736,0.24418780302528584,True
USDJPY,blocks1-5_exploratory,B1-B0,0.0044072765531756875,-0.032887423677681306,0.04096217505896079,False,0.025216005675704676,0.01202393393166638,0.040485028478336245,True
USDJPY,blocks1-5_exploratory,B2-B0,-0.0033121072812799524,-0.04458650339944893,0.03358513892215889,False,0.23937333799485142,0.20158444623556906,0.2791381751463854,True
USDJPY,blocks1-5_exploratory,B2-B1,-0.00771938383445564,-0.0419592683228245,0.021640903437120027,False,0.21415733231914671,0.1748195136767365,0.2536205395244923,True
