pair,state,comparison,n,brier_diff,ci_lo,ci_hi,excludes_zero
EURUSD,calm,B1-B0,1128,0.025564648218080056,0.003527497724423482,0.049794205547734935,True
EURUSD,normal,B1-B0,597,0.02259697628699861,-0.00026502057497987803,0.04649916998030608,False
EURUSD,turbulent,B1-B0,481,0.0055577502343489606,-0.0349098981690131,0.052980743375020636,False
USDINR,calm,B1-B0,949,0.021955996229097854,0.00238814825197707,0.04325475855994515,True
USDINR,normal,B1-B0,561,0.026230277776592932,0.006095483719613984,0.046962955962912785,True
USDINR,turbulent,B1-B0,696,0.03962360482580999,0.0017582214953333578,0.07741579915758376,True
USDJPY,calm,B1-B0,872,0.031283412652666744,0.0072762743747178645,0.05708893812601999,True
USDJPY,normal,B1-B0,619,0.02283364341694818,0.0018327408057545922,0.05034098671325862,True
USDJPY,turbulent,B1-B0,715,0.00979906497349584,-0.002067874384056203,0.023297059951271768,False
